Count,Lityear,Year,Season,Site,Stand,Plot,Treatment,N,P,Ca,Basket,Total_Mass,Leaf_Mass,Basket_Type,Basket_Area,Total_Mass_g_m2,Sorted,ACPE,ACRU,ACSA3,ACSP2,BE_sp,BEAL2,BEPA,BEPO,FAGR,FRAM2,PIRU,PO_sp,POGR4,POTR5,PRPE2,PRSE2,QURU,SOAM3,TIAM,TSCA,VILA11,Unknown,Seeds,Nonleaf,OTHER_Spring,Other,Twigs <16mm,Twigs 16-30mm,Problematic,Comments
,2005,2005,Fall,,C1,1,,,,,LF1,56.30,56.30,1,0.23,244.78,Y,2.7,1.7,0.7,,,1.3,12.1,,18.9,,,,,,14,,,,,,,,,,,4.9,8.8,,,
,2005,2005,Fall,,C1,1,,,,,LF2,56.10,56.10,1,0.23,243.91,Y,2.1,4.2,1,,,1.2,5.9,,26.1,,,,,,11,,,,,,,,,,,4.6,3,,,
,2005,2005,Fall,,C1,1,,,,,LF3,51.50,51.50,1,0.23,223.91,Y,1.6,1.1,0.4,,,2.1,27.4,,7.9,,,,,,4,,,,,,,,,,,7,0.2,,,
,2005,2005,Fall,,C1,1,,,,,LF4,72.00,72.00,1,0.23,313.04,Y,9.8,9.8,6.5,,,1.3,13.8,,16.8,4.7,,,,,2,,,,,,,,,,,7.3,1.5,,,
,2005,2005,Fall,,C1,1,,,,,LF5,58.00,58.00,1,0.23,252.17,Y,,1,0.7,,,4,17.8,,8.2,1.1,,,,,20.8,,,,,,,,,,,4.4,0.8,,,
,2005,2005,Fall,,C1,2,,,,,LF1,41.10,41.10,1,0.23,178.70,Y,,1.5,,,,8.3,,,11.4,,,,,1.5,10.5,,,,,,,,,,,7.9,17.3,,,
,2005,2005,Fall,,C1,2,,,,,LF2,54.40,54.40,1,0.23,236.52,Y,,1.2,,,,5.7,12,,19.3,,,,,,3.7,,,,,,,,,,,12.5,3.4,,,
,2005,2005,Fall,,C1,2,,,,,LF3,52.20,52.20,1,0.23,226.96,Y,1.7,5.4,,,,3.1,5.6,,12.1,,,,,,22.7,,,,,,,,,,,1.6,4.4,,,
,2005,2005,Fall,,C1,2,,,,,LF4,57.50,57.50,1,0.23,250.00,Y,,6.7,,,,2.5,24.7,,12.1,1.1,,,,,7.5,,,,,,,,,,,2.9,31.1,,,
,2005,2005,Fall,,C1,2,,,,,LF5,64.90,64.90,1,0.23,282.17,Y,16.8,4.2,,,,1.8,8.1,,17.1,,,,,,14.7,,,,,,,,,,,2.2,5.1,,,
,2005,2005,Fall,,C1,3,,,,,LF1,44.00,44.00,1,0.23,191.30,Y,,3.5,,,,2.9,16.6,,11.8,,,,,,8,,,,,,,,,,,1.2,3.5,,,
,2005,2005,Fall,,C1,3,,,,,LF2,49.10,49.10,1,0.23,213.48,Y,1.6,,1.3,,,4.6,19.9,,10.8,,,,,,7.8,,,,,,,,,,,3.1,21.1,,,
,2005,2005,Fall,,C1,3,,,,,LF3,52.50,52.50,1,0.23,228.26,Y,,3.5,,,,4.3,20.3,,9.4,,,,,,11.3,,,,,,,,,,,3.7,1.9,,,
,2005,2005,Fall,,C1,3,,,,,LF4,60.80,60.80,1,0.23,264.35,Y,,3,1.1,,,4.9,25.6,,10.2,,,,,,8.6,,,,,,,,,,,7.4,55.5,,,
,2005,2005,Fall,,C1,3,,,,,LF5,44.30,44.30,1,0.23,192.61,Y,,3.4,0.8,,,7.8,11,,4.9,,,,,,8.7,,,,,,,,,,,7.7,1.5,,,
,2005,2005,Fall,,C2,1,,,,,LF1,N/A,#VALUE!,1,0.23,#VALUE!,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basket overturned
,2005,2005,Fall,,C2,1,,,,,LF2,43.60,43.60,1,0.23,189.57,Y,,4.8,,,,0.8,7.7,,22.2,,,,,,8,,,,,,,,,,,0.1,0.6,,,
,2005,2005,Fall,,C2,1,,,,,LF3,N/A,#VALUE!,1,0.23,#VALUE!,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basket overturned
,2005,2005,Fall,,C2,1,,,,,LF4,N/A,#VALUE!,1,0.23,#VALUE!,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basket overturned
,2005,2005,Fall,,C2,1,,,,,LF5,41.60,41.60,1,0.23,180.87,Y,,,,,,0.4,2.6,,34.4,,,,,,1.2,,,,,,,,,,,3,0.3,,,
,2005,2005,Fall,,C2,2,,,,,LF1,47.80,47.80,1,0.23,207.83,Y,,8.2,,,,2.4,16.6,,6.8,,,,,,3,,,,,,,,,,,10.8,1.1,,,
,2005,2005,Fall,,C2,2,,,,,LF2,62.90,62.90,1,0.23,273.48,Y,,28.1,,,,2.4,5.4,,18.2,,,,,,8.6,,,,,,,,,,,0.2,0.1,,,
,2005,2005,Fall,,C2,2,,,,,LF3,38.30,38.30,1,0.23,166.52,Y,,,,,,0,5.1,,28,0.2,,,,,1.7,,,,,,,,,,,3.3,,,,
,2005,2005,Fall,,C2,2,,,,,LF4,71.40,71.40,1,0.23,310.43,Y,,40.3,,,,2.7,10.4,,6.3,,,,,,7.6,,,,,,,,,,,4.1,0.9,,,
,2005,2005,Fall,,C2,2,,,,,LF5,56.80,56.80,1,0.23,246.96,Y,,2.7,,,,1.6,22.7,,9.3,,,,,,12.2,,,,,,,,,,,8.3,0.2,,,
,2005,2005,Fall,,C2,3,,,,,LF1,41.50,41.50,1,0.23,180.43,Y,0.6,3.7,,,,1.1,8.7,,17.2,1.2,,,,,4.5,,,,,,,,,,,4.5,2,,,
,2005,2005,Fall,,C2,3,,,,,LF2,60.90,60.90,1,0.23,264.78,Y,,41,,,,,2.6,,10.9,,,,,,2.4,,,,,,,,,,,4,46.4,,,
,2005,2005,Fall,,C2,3,,,,,LF3,71.80,71.80,1,0.23,312.17,Y,0.8,15.7,,,,3.7,26.2,,15.9,0.9,,,,,2.2,,,,,,,,,,,6.4,0.5,,,
,2005,2005,Fall,,C2,3,,,,,LF4,44.60,44.60,1,0.23,193.91,Y,9.5,2.8,,,,5.7,2.2,,21.1,0.5,,,,,1,,,,,,,,,,,1.8,2.1,,,
,2005,2005,Fall,,C2,3,,,,,LF5,56.50,56.50,1,0.23,245.65,Y,14.8,1.1,,,,2.9,0.9,,27.4,,,,,,1.1,,,,,,,,,,,8.3,14.7,,,
,2005,2005,Fall,,C3,1,,,,,LF1,N/A,#VALUE!,1,0.23,#VALUE!,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basket overturned
,2005,2005,Fall,,C3,1,,,,,LF2,43.50,43.50,1,0.23,189.13,Y,0.8,5.9,18.4,,,,2.5,,10.8,0.5,,,,,0.6,,,,,,,,,,,4,3.8,,,
,2005,2005,Fall,,C3,1,,,,,LF3,68.40,68.40,1,0.23,297.39,Y,2.4,22.4,7.3,,,3.6,8.3,,16,0.8,,,,,1.6,,,,,,,,,,,6,0.9,,,
,2005,2005,Fall,,C3,1,,,,,LF4,69.60,69.60,1,0.23,302.61,Y,3.1,24.5,9.9,,,0.3,0.6,,24,,,,,,3.3,,,,,,,,,,,3.9,15.8,,,
,2005,2005,Fall,,C3,1,,,,,LF5,53.60,53.60,1,0.23,233.04,Y,1.7,25,2.9,,,,1.3,,18,0.6,,,,,0.8,,,,,,,,,,,3.3,1.5,,,
,2005,2005,Fall,,C3,2,,,,,LF1,44.90,44.90,1,0.23,195.22,Y,6.8,1.1,3.5,,,0.8,6.8,,17.4,1,,,,,4.5,,,,,,,,,,,3,3.3,,,
,2005,2005,Fall,,C3,2,,,,,LF2,58.90,58.90,1,0.23,256.09,Y,16.6,2.2,0.5,,,1.1,1.2,,28,2.8,,,,,4.7,,,,,,,,,,,1.8,2.8,,,
,2005,2005,Fall,,C3,2,,,,,LF3,61.30,61.30,1,0.23,266.52,Y,3.6,1.3,3,,,6.4,22.4,,14.6,,,,,,1.9,,,,,,,,,,,8.1,1,,,
,2005,2005,Fall,,C3,2,,,,,LF4,47.80,47.80,1,0.23,207.83,Y,1,3.3,3.3,,,1.5,8.1,,19.6,,,,,,1.1,,,,,,,,,,,9.9,2.3,,,
,2005,2005,Fall,,C3,2,,,,,LF5,58.10,58.10,1,0.23,252.61,Y,5.8,11.5,2.7,,,2.9,,,27.9,,,,,,0.9,,,,,,,,,,,6.4,32,,,
