stand,plot,treatment,basket,risk level,new risk level,basket type,comments,summer collection?
C1,1,P,A1,1,,2,"very slight slope, 1 m away from boulder, bottom of slope of plot",
C1,1,P,B2,1,,1,"very slight slope, 1 m from small boulder",
C1,1,P,C1,4,1,2,"in between two boulders in a divit, moved 1.5 m over onto a convex microslope",
C1,1,P,A3,2,1,1,"flat but close to small boulder, leaf build up in between, elevated above",
C1,1,P,C3,2,,2,bottom of slight slope,
C1,2,N,C3,3,1,3,"close to medium boulder, moved",
C1,2,N,B2,0,,1,convex,
C1,2,N,C1,2,,3,downslope,
C1,2,N,A1,3,0,2,"downslope, moved onto convex",
C1,2,N,A3,2,,1,"downslope, between 2 boulders but above them mostly",
C1,4,NP,C3,3,2,2,"in between two medium boulders, moved but still lots of boulders in this area",
C1,4,NP,B2,1,,3,relatively even slope,
C1,4,NP,C1,1.5,,3,some boulders around,
C1,4,NP,A1,1,,1,,
C1,4,NP,A3,1,,2,"very poorly draining because holes too small, fixed",
C1,3,C,A1,3,2,3,"downslope, now raised",
C1,3,C,C1,1,,3,,
C1,3,C,B2,2,,3,downslope,
C1,3,C,A3,2,,2,in slight divot,
C1,3,C,C3,2,1,1,"even slope but starting to get buried, now elevated",
C9,3,NP,A3,2,1,2,"slight slope, slight burial, changed after elevating",
C9,3,NP,C3,3,2,1,"in a depression between boulders, moved .5 m away",
C9,3,NP,B2,0,,1,on a little hill,
C9,3,NP,C1,2,,2,on a slope above a depression,
C9,3,NP,A1,3,2,1,"in a slight depression getting  buried, moved 1 m to slight hill",
C9,4,N,C3,2,,1,"on slope, boulders in area",
C9,4,N,A3,2,,1,"on slope, 1 m from boulder",
C9,4,N,B2,2.5,,2,"steep slope, leaf build up, steep everywhere so just moved build up and elevated, very poorly draining due to small draingage holes",
C9,4,N,A1,2,,1,on slope,
C9,4,N,C1,3,2,1,"in depression, likely fallen from orginial spot, moved back to original hill",
C9,2,P,C3,2,,2,"slope, leaf build up, poorly drainging from small drainage holes",
C9,2,P,B2,1,,3,"slight slope, slight burial",
C9,2,P,A3,4,2,1,"smooshed between 2 logs/fallen trees, moved 2.5m",
C9,2,P,A1,2,,1,"slight slope, some build up",
C9,2,P,C1,1,,2,relatively even slope,
C9,1,C,C3,1,,2,"slight slope, poor drainage from small holes",
C9,1,C,C1,2,1,1,"leaf build up, changed after elevation",
C9,1,C,A1,1,,2,"slight slope, poor drainage from small holes",
C9,1,C,B2,2,1,2,"in channel/depression, changed after elevation, poor drainage from small holes",
C9,1,C,A3,1,,1,on a little hill,
C6,2,C,C1,2,,2,"next to depression, poor drainage from small holes, was found moved (bear?)",
C6,2,C,B2,1,,2,"slight slope, poor drainage from small holes, found moved (bear?)",
C6,2,C,A1,2,,1,"slight slope, leaf build up",
C6,2,C,A3,1,,2,"slight slope, very poor drainage from small holes",
C6,2,C,C3,3,0,1,"in depression, buried, moved 1.5 to hill",
C6,4,P,A3,1,1,1,"slight slope, tree fell on basket so moved 2 m",
C6,4,P,A1,1,,3,"slight slope, poor drainage due to not enough holes",
C6,4,P,B2,1,,1,boulders in area,
C6,4,P,C3,2,1,1,"next to log, buried, changed when elevated",
C6,4,P,C1,1,,1,slightly buried,
C6,5,Ca,C1,3,0,1,"depression, buried, moved 1 m to hill",
C6,5,Ca,C3,2?,2,2,"behind tree, moved (bear?) so unsure of original location",
C6,5,Ca,B2,3,1,3,"depression, buried, moved 1.5m",
C6,5,Ca,A3,1,,3,slight slope,
C6,5,Ca,A1,1,,1,in between saplings,
C6,3,N,A3,3,1,2,"in depression near boulder, moved 5 m (due to boulder), likely pd sh",
C6,3,N,B2,1,,1 to 2,"slight slope, slight burial, basket replaced because hole in bottom",
C6,3,N,C3,3,1,1,"in small depression, buried, elevated",
C6,3,N,C1,2,,2,"slight, slope, buried, pd sh",
C6,3,N,A1,1,,1,,
C6,1,NP,A3,2,1,1,"slight burial, elevated,  leaves removed",
C6,1,NP,C3,1,,2,"slight slope, even ground, likely pd sh",
C6,1,NP,B2,1,,2,"slight slope, likely pd sh",
C6,1,NP,C1,3,1.5,1,"slight depression, burial, elevated",
C6,1,NP,A1,2,,1,"even slope, slight burial",
C2,1,NP,A3,1,,1,slight slope,
C2,1,NP,C3,2,,1,"on slope beside divot, slight burial",
C2,1,NP,C1,2,,1,"slight slope, slight build up",
C2,1,NP,B2,2,,1,"steep slope, slight build up",
C2,1,NP,A1,2,,3,"lots of beech in whole stand, slightly steep slope, slight build up",
C2,4,N,C3,2,,1,"slight depression, burial",
C2,4,N,B2,2,,1,"slope, build up",
C2,4,N,C1,2,,1,"slight depression, slight build up",
C2,4,N,A1,2,,1,"slope, build up",
C2,4,N,A3,3,2,1,"slight depression, burial, elevated",
C2,2,C,A3,2,,3,"slight depression, slight build up",
C2,2,C,C3,2,,3,"slight slope, slight build up",
C2,2,C,B2,1,,3,slight slope,
C2,2,C,A1,1,,2,"slight slope, tree fallen over that was removed",?
C2,2,C,C1,2,,3,"slight slope, build up",
C2,3,P,C3,2,,1,"slight depression, slight build up, dead tree overhanging that was removed",?
C2,3,P,B2,2,,3,"slight depression, build up",
C2,3,P,A1,3,2,1,"slight depression, burial, change after elevation",
